ID,Description,Name,Code,Price,Measure,Quantity,Iva,Discount,Imponibile,Imposta,TotPrice,InvoiceID
6,Poltrone,,,327.87,0,2,22.0,0.0,655.74,144.26,800.0,4
7,Tenda a vetro con bacchetta,,,80.0,0,1,22.0,0.0,80.0,17.6,97.6,5
8,Poltrona Bergere foderatura,,,295.0,0,2,22.0,0.0,590.0,129.8,719.8,5
9,Tessuto,,,42.0,0,12,22.0,0.0,504.0,110.88,614.88,5
10,Divano Ottomano Imbottitura e foderatura,,,630.0,0,1,22.0,0.0,630.0,138.6,768.6,6
11,Tessuto Divano,,,52.45,0,8,22.0,0.0,419.6,92.31,511.91,6
12,Angoliera,,,180.0,0,1,22.0,0.0,180.0,39.6,219.6,6
13,tessuto velluto,,,58.52,0,1.4,22.0,0.0,81.93,18.02,99.95,6
14,cuscino 149 x 81 x 12  con lacci tubolari,,,180.0,0,1,22.0,0.0,180.0,39.6,219.6,7
15,cuscino 54 x 22 con buco e invito ,,,85.0,0,2,22.0,0.0,170.0,37.4,207.4,7
16,cuscino 29 x 11 con invito,,,22.0,0,4,22.0,0.0,88.0,19.36,107.36,7
17,Aggiustatura gazebo,,,40.0,0,5,22.0,0.0,200.0,44.0,244.0,8
18,TESSUTO + CUCITURA  CON CERNIETRA CUSCINI,,,100.0,0,3,22.0,0.0,300.0,66.0,366.0,9
19,TESSUTO + CUCITURA CON  VENATURE E CERNIERE,,,100.0,0,3,22.0,0.0,300.0,66.0,366.0,10
20,Testiera letto ,,,200.0,0,1,22.0,0.0,200.0,44.0,244.0,11
21,rullo cm 160 diametro 20,,,36.0,0,1,22.0,0.0,36.0,7.92,43.92,11
22,cucitura rullo cm 160,,,70.0,0,1,22.0,0.0,70.0,15.4,85.4,11
23,cucitura copri rete con gala letto matrimoniale,,,180.0,0,1,22.0,0.0,180.0,39.6,219.6,11
24,tessuto,,,22.049,0,6.5,22.0,0.0,143.32,31.53,174.85,11
25,tenda interno in poliestere e acrilico,,,300.0,0,1,22.0,0.0,300.0,66.0,366.0,12
26,cuscino in fibra di vetro 40x18x10 cm.,,,22.0,0,3,22.0,0.0,66.0,14.52,80.52,13
27,ddt del 28-06-2016 n° 05,,,0.0,0,1,22.0,0.0,0.0,0.0,0.0,13
